,event_id,group,similarity
243,20180115T040046Z,2c,0.7639843175137387
244,20180115T040056Z,2c,0.7891494429585874
245,20180115T040200Z,6d,0.7990906846566913
246,20180115T040238Z,2c,0.7691952221859306
247,20180115T040317Z,1d,0.8166761110863386
248,20180115T040421Z,2c,0.8193566639026891
249,20180115T040435Z,1b,0.804449082928899
250,20180115T040523Z,2d,0.8815015428388102
251,20180115T040641Z,2c,0.8140462341223588
252,20180115T040825Z,1d,0.8499164269248123
253,20180115T041028Z,1b,0.8498844299759278
254,20180115T041043Z,2c,0.8332633720307899
255,20180115T041243Z,8d,0.6986687199572681
256,20180115T041322Z,1b,0.9070096694812935
257,20180115T041422Z,1c,0.8245555112741426
258,20180115T041548Z,2c,0.7933801276689644
259,20180115T041629Z,1c,0.905056865620472
260,20180115T041816Z,1a,0.851549615753893
261,20180115T041919Z,1a,0.8749113218224939
262,20180115T042105Z,1c,0.8144456142789468
263,20180115T042257Z,1c,0.8347256327498189
264,20180115T042341Z,1c,0.8105557255914396
265,20180115T042501Z,7d,0.6533335858417345
266,20180115T042524Z,1a,0.9014864659031013
267,20180115T042915Z,2a,0.8360104658112602
268,20180115T042948Z,2a,0.7971540624291676
269,20180115T043001Z,3d,0.705827350246828
270,20180115T043147Z,1b,0.858367128245289
271,20180115T043257Z,2d,0.8927987210174647
272,20180115T043310Z,3b,0.7602554510830484
273,20180115T043346Z,1c,0.8392512397679004
274,20180115T043408Z,1a,0.8934819631281464
275,20180115T043449Z,1b,0.8941368152044677
276,20180115T043628Z,1d,0.8505998815413244
277,20180115T043901Z,6a,0.7691827247751275
278,20180115T043913Z,1c,0.8954050404892947
279,20180115T043945Z,3a,0.6883768005834824
280,20180115T044056Z,1b,0.9176221628214597
281,20180115T044829Z,1c,0.8820597129273368
282,20180115T044902Z,2a,0.8792269290044523
283,20180115T045321Z,2d,0.8159678936998096
284,20180115T045501Z,1a,0.8018233699131582
285,20180115T045614Z,3d,0.6876803199848341
286,20180115T045634Z,1c,0.9174459736220479
287,20180115T045724Z,1d,0.8057519917954489
288,20180115T045918Z,1b,0.8726960036742711
289,20180115T050134Z,1a,0.9354951476393868
290,20180115T050144Z,1c,0.9026036467545736
291,20180115T050154Z,2c,0.76442960519917
292,20180115T050219Z,2c,0.7929578899022877
293,20180115T050309Z,2a,0.8879255223292699
294,20180115T050424Z,2c,0.7652158388976293
295,20180115T050516Z,2c,0.7758731318209285
296,20180115T050745Z,8c,0.6953317176140515
297,20180115T050854Z,2a,0.7750470126840742
298,20180115T051144Z,1a,0.9035731379078589
299,20180115T051319Z,7d,0.6952105318380972
300,20180115T051446Z,1a,0.8297823658722151
301,20180115T051555Z,1b,0.8842277943947335
302,20180115T052026Z,1a,0.9107347485088347
303,20180115T052058Z,1c,0.8036480645261447
304,20180115T052204Z,1b,0.8402945317687751
305,20180115T052226Z,1a,0.853315908200027
306,20180115T052256Z,1c,0.8988253808139829
307,20180115T052343Z,2c,0.8134287071547899
308,20180115T052428Z,1a,0.807680945942531
309,20180115T052452Z,1a,0.8229390482264749
310,20180115T052518Z,5b,0.8058011542598499
311,20180115T052555Z,1a,0.8879505276277454
312,20180115T052606Z,1c,0.8045754470937816
313,20180115T052625Z,1c,0.8083654848061951
314,20180115T052752Z,1a,0.8735359972651836
315,20180115T052805Z,7d,0.6563670917440573
316,20180115T052941Z,6b,0.8361458525798473
