#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
2A|REF03||GLE|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF03||GLE|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-05T00:59:59.975000Z
2A|REF03||GLE|M|1000.0|2018-01-05T01:00:00.000000Z|2018-01-05T22:59:59.955000Z
2A|REF03||GLE|M|1000.0|2018-01-05T23:00:00.000000Z|2018-01-07T22:59:59.985000Z
2A|REF03||GLE|M|1000.0|2018-01-07T23:00:00.000000Z|2018-01-09T04:59:59.971000Z
2A|REF03||GLE|M|1000.0|2018-01-09T05:00:00.000000Z|2018-01-09T15:59:59.967000Z
2A|REF03||GLE|M|1000.0|2018-01-09T16:00:00.000000Z|2018-01-11T07:59:59.995000Z
2A|REF03||GLE|M|1000.0|2018-01-11T08:00:00.000000Z|2018-01-13T02:59:59.959000Z
2A|REF03||GLE|M|1000.0|2018-01-13T03:00:00.000000Z|2018-01-13T20:59:59.945000Z
2A|REF03||GLE|M|1000.0|2018-01-13T21:00:00.000000Z|2018-01-17T02:59:59.995000Z
2A|REF03||GLE|M|1000.0|2018-01-17T03:00:00.000000Z|2018-01-17T05:59:59.965000Z
2A|REF03||GLE|M|1000.0|2018-01-17T06:00:00.000000Z|2018-01-17T10:59:59.977000Z
2A|REF03||GLE|M|1000.0|2018-01-17T11:00:00.000000Z|2018-01-19T08:59:59.973000Z
2A|REF03||GLE|M|1000.0|2018-01-19T09:00:00.000000Z|2018-01-21T15:59:59.953000Z
2A|REF03||GLE|M|1000.0|2018-01-21T16:00:00.000000Z|2018-01-23T15:59:59.963000Z
2A|REF03||GLE|M|1000.0|2018-01-23T16:00:00.000000Z|2018-01-24T04:59:59.951000Z
2A|REF03||GLE|M|1000.0|2018-01-24T05:00:00.000000Z|2018-01-25T11:59:59.955000Z
2A|REF03||GLE|M|1000.0|2018-01-25T12:00:00.000000Z|2018-01-26T07:14:58.249000Z
