,Network,Station,Location,Channel,Start,End
129,2A,REF02,,GLE,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
130,2A,REF02,,GLN,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
131,2A,REF02,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
132,2A,REF03,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T00:59:59.975000Z
133,2A,REF03,,GLE,2018-01-05T01:00:00.000000Z,2018-01-05T22:59:59.955000Z
134,2A,REF03,,GLE,2018-01-05T23:00:00.000000Z,2018-01-06T00:00:00.000000Z
135,2A,REF03,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T14:59:59.951000Z
136,2A,REF03,,GLN,2018-01-05T15:00:00.000000Z,2018-01-06T00:00:00.000000Z
137,2A,REF03,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
138,2A,REF04,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T00:02:31.499000Z
139,2A,REF04,,GLE,2018-01-05T00:03:12.000000Z,2018-01-05T00:03:26.532000Z
140,2A,REF04,,GLE,2018-01-05T00:03:27.533000Z,2018-01-05T00:03:44.532000Z
141,2A,REF04,,GLE,2018-01-05T00:03:45.000000Z,2018-01-06T00:00:00.000000Z
142,2A,REF04,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T00:02:31.499000Z
143,2A,REF04,,GLN,2018-01-05T00:03:12.000000Z,2018-01-05T00:03:26.532000Z
144,2A,REF04,,GLN,2018-01-05T00:03:27.533000Z,2018-01-05T00:03:44.532000Z
145,2A,REF04,,GLN,2018-01-05T00:03:45.000000Z,2018-01-06T00:00:00.000000Z
146,2A,REF04,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-05T00:02:31.499000Z
147,2A,REF04,,GLZ,2018-01-05T00:03:12.000000Z,2018-01-05T00:03:26.532000Z
148,2A,REF04,,GLZ,2018-01-05T00:03:27.533000Z,2018-01-05T00:03:44.532000Z
149,2A,REF04,,GLZ,2018-01-05T00:03:45.000000Z,2018-01-05T19:59:59.967000Z
150,2A,REF04,,GLZ,2018-01-05T20:00:00.000000Z,2018-01-06T00:00:00.000000Z
151,2A,REF07,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T15:59:59.947000Z
152,2A,REF07,,GLE,2018-01-05T16:00:00.000000Z,2018-01-05T16:59:59.985000Z
153,2A,REF07,,GLE,2018-01-05T17:00:00.000000Z,2018-01-06T00:00:00.000000Z
154,2A,REF07,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T22:59:59.961000Z
155,2A,REF07,,GLN,2018-01-05T23:00:00.000000Z,2018-01-06T00:00:00.000000Z
156,2A,REF07,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
157,2A,REF08,,GLE,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
158,2A,REF08,,GLN,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
159,2A,REF08,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
160,2A,REF10,,GLE,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
161,2A,REF10,,GLN,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
162,2A,REF10,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
163,2A,REF11,,GLE,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
164,2A,REF11,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T09:59:59.965000Z
165,2A,REF11,,GLN,2018-01-05T10:00:00.000000Z,2018-01-06T00:00:00.000000Z
166,2A,REF11,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-05T15:59:59.981000Z
167,2A,REF11,,GLZ,2018-01-05T16:00:00.000000Z,2018-01-06T00:00:00.000000Z
168,2A,BBS05,,HHE,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
169,2A,BBS05,,HHN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
170,2A,BBS05,,HHZ,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
171,2A,BBS06,,HHE,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
172,2A,BBS06,,HHN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
173,2A,BBS06,,HHZ,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
174,2A,BBS09,,HHE,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
175,2A,BBS09,,HHN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
176,2A,BBS09,,HHZ,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
177,2A,REF01,,GLE,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
178,2A,REF01,,GLN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
179,2A,REF01,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-06T03:59:59.951000Z
180,2A,REF01,,GLZ,2018-01-06T04:00:00.000000Z,2018-01-07T00:00:00.000000Z
181,2A,REF02,,GLE,2018-01-06T00:00:00.000000Z,2018-01-06T12:59:59.993000Z
182,2A,REF02,,GLE,2018-01-06T13:00:00.000000Z,2018-01-07T00:00:00.000000Z
183,2A,REF02,,GLN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
184,2A,REF02,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
185,2A,REF03,,GLE,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
186,2A,REF03,,GLN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
187,2A,REF03,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
188,2A,REF04,,GLE,2018-01-06T00:00:00.000000Z,2018-01-06T00:02:27.749000Z
189,2A,REF04,,GLE,2018-01-06T00:03:08.000000Z,2018-01-06T00:03:22.530000Z
190,2A,REF04,,GLE,2018-01-06T00:03:23.531000Z,2018-01-06T00:03:40.530000Z
191,2A,REF04,,GLE,2018-01-06T00:03:41.000000Z,2018-01-06T00:59:59.995000Z
192,2A,REF04,,GLE,2018-01-06T01:00:00.000000Z,2018-01-07T00:00:00.000000Z
193,2A,REF04,,GLN,2018-01-06T00:00:00.000000Z,2018-01-06T00:02:27.749000Z
194,2A,REF04,,GLN,2018-01-06T00:03:08.000000Z,2018-01-06T00:03:22.530000Z
195,2A,REF04,,GLN,2018-01-06T00:03:23.531000Z,2018-01-06T00:03:40.530000Z
196,2A,REF04,,GLN,2018-01-06T00:03:41.000000Z,2018-01-06T01:59:59.945000Z
197,2A,REF04,,GLN,2018-01-06T02:00:00.000000Z,2018-01-06T23:59:59.977000Z
198,2A,REF04,,GLN,2018-01-07T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
199,2A,REF04,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-06T00:02:27.749000Z
200,2A,REF04,,GLZ,2018-01-06T00:03:08.000000Z,2018-01-06T00:03:22.530000Z
201,2A,REF04,,GLZ,2018-01-06T00:03:23.531000Z,2018-01-06T00:03:40.530000Z
202,2A,REF04,,GLZ,2018-01-06T00:03:41.000000Z,2018-01-06T11:59:59.975000Z
203,2A,REF04,,GLZ,2018-01-06T12:00:00.000000Z,2018-01-07T00:00:00.000000Z
204,2A,REF07,,GLE,2018-01-06T00:00:00.000000Z,2018-01-06T22:59:59.967000Z
205,2A,REF07,,GLE,2018-01-06T23:00:00.000000Z,2018-01-07T00:00:00.000000Z
206,2A,REF07,,GLN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
207,2A,REF07,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
208,2A,REF08,,GLE,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
209,2A,REF08,,GLN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
210,2A,REF08,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-06T06:59:59.973000Z
211,2A,REF08,,GLZ,2018-01-06T07:00:00.000000Z,2018-01-07T00:00:00.000000Z
212,2A,REF10,,GLE,2018-01-06T00:00:00.000000Z,2018-01-06T05:59:59.967000Z
213,2A,REF10,,GLE,2018-01-06T06:00:00.000000Z,2018-01-06T11:59:59.965000Z
214,2A,REF10,,GLE,2018-01-06T12:00:00.000000Z,2018-01-07T00:00:00.000000Z
215,2A,REF10,,GLN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
216,2A,REF10,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-06T14:59:59.937000Z
217,2A,REF10,,GLZ,2018-01-06T15:00:00.000000Z,2018-01-07T00:00:00.000000Z
218,2A,REF11,,GLE,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
219,2A,REF11,,GLN,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
