,match_time,template
20180102T010812Z,2018-01-02T01:08:12.640000Z,2c
20180102T014144Z,2018-01-02T01:41:44.020000Z,2c
20180102T014239Z,2018-01-02T01:42:39.660000Z,7d
20180102T015115Z,2018-01-02T01:51:15.100000Z,1d
20180102T015528Z,2018-01-02T01:55:28.460000Z,1d
20180102T021518Z,2018-01-02T02:15:18.760000Z,1d
20180102T021558Z,2018-01-02T02:15:58.080000Z,1d
20180102T022402Z,2018-01-02T02:24:02.640000Z,2c
20180102T022513Z,2018-01-02T02:25:13.540000Z,7d
20180102T022927Z,2018-01-02T02:29:27.250000Z,1d
20180102T023811Z,2018-01-02T02:38:11.190000Z,6d
20180102T025738Z,2018-01-02T02:57:38.690000Z,4b
20180102T025915Z,2018-01-02T02:59:15.060000Z,1d
20180102T030308Z,2018-01-02T03:03:08.880000Z,2c
20180102T030407Z,2018-01-02T03:04:07.120000Z,1d
20180102T031934Z,2018-01-02T03:19:34.730000Z,1d
20180102T031948Z,2018-01-02T03:19:48.680000Z,1d
20180102T033434Z,2018-01-02T03:34:34.750000Z,1d
20180102T034343Z,2018-01-02T03:43:43.740000Z,1d
20180102T040846Z,2018-01-02T04:08:46.330000Z,4d
20180102T051228Z,2018-01-02T05:12:28.760000Z,1d
20180102T052702Z,2018-01-02T05:27:02.590000Z,1d
20180102T060027Z,2018-01-02T06:00:27.070000Z,1d
20180102T065038Z,2018-01-02T06:50:38.650000Z,2c
20180102T074325Z,2018-01-02T07:43:25.110000Z,6d
20180102T074402Z,2018-01-02T07:44:02.010000Z,1d
20180102T075200Z,2018-01-02T07:52:00.480000Z,1d
20180102T084822Z,2018-01-02T08:48:22.240000Z,8c
20180102T085107Z,2018-01-02T08:51:07.350000Z,1d
20180102T090151Z,2018-01-02T09:01:51.890000Z,2c
20180102T091936Z,2018-01-02T09:19:36.080000Z,2c
20180102T095957Z,2018-01-02T09:59:57.170000Z,4d
20180102T100109Z,2018-01-02T10:01:09.270000Z,1d
20180102T102021Z,2018-01-02T10:20:21.920000Z,1d
20180102T104238Z,2018-01-02T10:42:38.570000Z,1d
20180102T105104Z,2018-01-02T10:51:04.920000Z,1d
20180102T105445Z,2018-01-02T10:54:45.240000Z,1d
20180102T114145Z,2018-01-02T11:41:45.830000Z,2c
20180102T114950Z,2018-01-02T11:49:50.290000Z,1d
20180102T115127Z,2018-01-02T11:51:27.870000Z,1d
20180102T115241Z,2018-01-02T11:52:41.860000Z,1d
20180102T120525Z,2018-01-02T12:05:25.760000Z,1d
20180102T121758Z,2018-01-02T12:17:58.730000Z,7d
20180102T122257Z,2018-01-02T12:22:57.160000Z,8c
20180102T122307Z,2018-01-02T12:23:07.680000Z,1d
20180102T130613Z,2018-01-02T13:06:13.590000Z,1d
20180102T131052Z,2018-01-02T13:10:52.060000Z,6c
20180102T131149Z,2018-01-02T13:11:49.660000Z,2c
20180102T131750Z,2018-01-02T13:17:50.310000Z,6d
20180102T133459Z,2018-01-02T13:34:59.370000Z,1d
20180102T133659Z,2018-01-02T13:36:59.220000Z,8c
20180102T133745Z,2018-01-02T13:37:45.840000Z,2c
20180102T134822Z,2018-01-02T13:48:22.670000Z,1d
20180102T135335Z,2018-01-02T13:53:35.410000Z,2c
20180102T140429Z,2018-01-02T14:04:29.840000Z,2c
20180102T143652Z,2018-01-02T14:36:52.930000Z,1d
20180102T144053Z,2018-01-02T14:40:53.120000Z,1d
20180102T144252Z,2018-01-02T14:42:52.290000Z,1d
20180102T151240Z,2018-01-02T15:12:40.720000Z,1d
20180102T152739Z,2018-01-02T15:27:39.090000Z,2c
20180102T153929Z,2018-01-02T15:39:29.120000Z,5a
20180102T164151Z,2018-01-02T16:41:51.020000Z,2c
20180102T165220Z,2018-01-02T16:52:20.800000Z,1d
20180102T170350Z,2018-01-02T17:03:50.820000Z,6c
20180102T171436Z,2018-01-02T17:14:36.640000Z,4d
20180102T173146Z,2018-01-02T17:31:46.890000Z,1d
20180102T173815Z,2018-01-02T17:38:15.720000Z,2c
20180102T181128Z,2018-01-02T18:11:28.140000Z,2c
20180102T184750Z,2018-01-02T18:47:50.190000Z,2c
20180102T185735Z,2018-01-02T18:57:35.040000Z,1d
20180102T191732Z,2018-01-02T19:17:32.440000Z,2c
20180102T191814Z,2018-01-02T19:18:14.990000Z,2c
