,event_id,group,similarity
77,20180120T010401Z,1d,0.8048148005650462
78,20180120T010528Z,1c,0.8732373439011157
79,20180120T010605Z,8d,0.6563207166537409
80,20180120T010628Z,1a,0.8507946890901684
81,20180120T010701Z,1c,0.8285349517072319
82,20180120T010736Z,5a,0.8060535420208536
83,20180120T010901Z,1c,0.8342974868494961
84,20180120T010917Z,2a,0.8140323967059985
85,20180120T011047Z,1a,0.8074975173354162
86,20180120T011259Z,8a,0.6835367764074406
87,20180120T011336Z,8d,0.6545661325491361
88,20180120T011404Z,6a,0.7696728785079445
89,20180120T011442Z,6b,0.7613574837192167
90,20180120T011504Z,1b,0.8448198359061658
91,20180120T011649Z,3c,0.6864603226890877
92,20180120T011701Z,6a,0.793615354819965
93,20180120T011807Z,2d,0.813218971704812
94,20180120T011833Z,2c,0.7593084908397013
95,20180120T011929Z,4d,0.7924031658789125
96,20180120T011944Z,1a,0.9382304364343653
97,20180120T012033Z,1d,0.8717607246030317
98,20180120T012051Z,1a,0.8700488348789625
99,20180120T012108Z,1a,0.8718660660019358
100,20180120T012145Z,7d,0.6607664899664001
101,20180120T012346Z,2b,0.8151398555962645
102,20180120T012415Z,1c,0.813634034784773
103,20180120T012453Z,1a,0.8386388503621306
104,20180120T012508Z,5c,0.8179430217299458
105,20180120T012519Z,5a,0.7896582072663036
106,20180120T012606Z,1c,0.8666952512749935
107,20180120T012635Z,1c,0.8417088184972018
108,20180120T012713Z,3d,0.7082199516140631
109,20180120T012932Z,1d,0.8015810874725672
110,20180120T013025Z,8d,0.6642797774172525
111,20180120T013120Z,1a,0.8698089360890431
112,20180120T013221Z,1c,0.8026282859267888
113,20180120T013235Z,5c,0.8358841374695593
114,20180120T013248Z,2b,0.7510900582907893
115,20180120T013518Z,1a,0.8869878337606684
116,20180120T013604Z,1b,0.8517737352643907
117,20180120T013634Z,8d,0.6914413995630183
118,20180120T013714Z,1b,0.9435950189745635
119,20180120T013728Z,1a,0.8277824577063392
120,20180120T013757Z,1b,0.8091039917472654
121,20180120T013939Z,3b,0.6685659689276942
122,20180120T014013Z,1d,0.8526889294449715
123,20180120T014207Z,1b,0.9047325850148864
124,20180120T014234Z,4b,0.7959126539115863
125,20180120T014308Z,2d,0.7736984848686277
126,20180120T014333Z,1c,0.865443238198161
127,20180120T014353Z,1d,0.8272803090251155
128,20180120T014411Z,1a,0.8242819708171496
129,20180120T014821Z,1c,0.8305405524219652
130,20180120T014913Z,1c,0.8220133262609353
131,20180120T015028Z,8a,0.7155577736484666
132,20180120T015104Z,1a,0.857914767334046
133,20180120T015148Z,3d,0.7095842339565185
134,20180120T015222Z,1a,0.8236998411827172
135,20180120T015327Z,1b,0.8313561394486719
136,20180120T015352Z,1a,0.8948244848034963
137,20180120T015419Z,1c,0.8260316261300241
138,20180120T015447Z,1c,0.8933114546626215
139,20180120T015506Z,1d,0.8448350375833327
140,20180120T015522Z,2a,0.8058430702388376
141,20180120T015537Z,1d,0.8376365243783996
142,20180120T015605Z,2c,0.7640879896627598
143,20180120T015638Z,2a,0.7543385585729664
144,20180120T015807Z,1a,0.8413447526631814
145,20180120T015821Z,2b,0.8099641341245389
146,20180120T015914Z,6b,0.7931086955045602
147,20180120T020047Z,1d,0.8519005140954399
148,20180120T020226Z,3d,0.7104221404995851
149,20180120T020242Z,2a,0.7570028820664672
150,20180120T020300Z,6c,0.7834486661662796
151,20180120T020433Z,3c,0.8761768225466364
152,20180120T020514Z,1c,0.8612289741426977
153,20180120T020536Z,8c,0.683934683484013
154,20180120T020602Z,3d,0.6582246528116432
