,match_time,template
20180105T133457Z,2018-01-05T13:34:57.290000Z,1a
20180105T135423Z,2018-01-05T13:54:23.250000Z,2b
20180105T135912Z,2018-01-05T13:59:12.480000Z,1c
20180105T135946Z,2018-01-05T13:59:46.210000Z,1a
20180105T141011Z,2018-01-05T14:10:11.540000Z,5b
20180105T141236Z,2018-01-05T14:12:36.350000Z,2b
20180105T142124Z,2018-01-05T14:21:24.320000Z,3d
20180105T142607Z,2018-01-05T14:26:07.900000Z,8c
20180105T142816Z,2018-01-05T14:28:16.160000Z,2b
20180105T144418Z,2018-01-05T14:44:18.290000Z,1b
20180105T144658Z,2018-01-05T14:46:58.070000Z,1d
20180105T145022Z,2018-01-05T14:50:22.350000Z,8c
20180105T150553Z,2018-01-05T15:05:53.140000Z,1a
20180105T151056Z,2018-01-05T15:10:56.350000Z,2b
20180105T152300Z,2018-01-05T15:23:00.290000Z,1a
20180105T152710Z,2018-01-05T15:27:10.030000Z,6b
20180105T154458Z,2018-01-05T15:44:58.990000Z,8c
20180105T154959Z,2018-01-05T15:49:59.330000Z,1a
20180105T155452Z,2018-01-05T15:54:52.160000Z,1a
20180105T160806Z,2018-01-05T16:08:06.090000Z,1a
20180105T160823Z,2018-01-05T16:08:23.980000Z,1b
20180105T161105Z,2018-01-05T16:11:05.220000Z,1c
20180105T161833Z,2018-01-05T16:18:33.670000Z,5b
20180105T162045Z,2018-01-05T16:20:45.010000Z,1c
20180105T163134Z,2018-01-05T16:31:34.410000Z,5c
20180105T163920Z,2018-01-05T16:39:20.040000Z,4b
20180105T164105Z,2018-01-05T16:41:05.070000Z,1a
20180105T165122Z,2018-01-05T16:51:22.670000Z,5c
20180105T165134Z,2018-01-05T16:51:34.260000Z,1c
20180105T165425Z,2018-01-05T16:54:25.860000Z,1a
20180105T165437Z,2018-01-05T16:54:37.460000Z,1d
20180105T165536Z,2018-01-05T16:55:36.080000Z,1a
20180105T165550Z,2018-01-05T16:55:50.780000Z,8c
20180105T165829Z,2018-01-05T16:58:29.540000Z,2c
20180105T170352Z,2018-01-05T17:03:52.580000Z,1a
20180105T170442Z,2018-01-05T17:04:42.730000Z,1d
20180105T170511Z,2018-01-05T17:05:11.440000Z,1a
20180105T171645Z,2018-01-05T17:16:45.090000Z,1a
20180105T172158Z,2018-01-05T17:21:58.900000Z,1a
20180105T172627Z,2018-01-05T17:26:27.320000Z,1c
20180105T172958Z,2018-01-05T17:29:58.230000Z,5a
20180105T173415Z,2018-01-05T17:34:15.660000Z,1c
20180105T173429Z,2018-01-05T17:34:29.320000Z,1a
20180105T173509Z,2018-01-05T17:35:09.150000Z,2b
20180105T174528Z,2018-01-05T17:45:28.620000Z,2b
20180105T175024Z,2018-01-05T17:50:24.050000Z,1a
20180105T175548Z,2018-01-05T17:55:48.550000Z,1a
20180105T175636Z,2018-01-05T17:56:36.210000Z,2b
20180105T180306Z,2018-01-05T18:03:06.330000Z,2b
20180105T180920Z,2018-01-05T18:09:20.410000Z,4b
20180105T180939Z,2018-01-05T18:09:39.790000Z,1a
20180105T181104Z,2018-01-05T18:11:04.570000Z,2c
20180105T181517Z,2018-01-05T18:15:17.230000Z,5c
20180105T181815Z,2018-01-05T18:18:15.970000Z,1d
20180105T182028Z,2018-01-05T18:20:28.130000Z,4b
20180105T182202Z,2018-01-05T18:22:02.180000Z,1a
20180105T182311Z,2018-01-05T18:23:11.610000Z,4b
20180105T182423Z,2018-01-05T18:24:23.120000Z,5a
20180105T182451Z,2018-01-05T18:24:51.270000Z,1a
20180105T182507Z,2018-01-05T18:25:07.580000Z,1a
20180105T183050Z,2018-01-05T18:30:50.230000Z,3d
20180105T184008Z,2018-01-05T18:40:08.210000Z,5b
20180105T185222Z,2018-01-05T18:52:22.030000Z,4b
20180105T185310Z,2018-01-05T18:53:10.760000Z,1b
20180105T191454Z,2018-01-05T19:14:54.680000Z,5c
20180105T192121Z,2018-01-05T19:21:21.330000Z,1a
20180105T192910Z,2018-01-05T19:29:10.430000Z,1a
20180105T193041Z,2018-01-05T19:30:41.290000Z,5a
20180105T194010Z,2018-01-05T19:40:10.790000Z,1a
20180105T194400Z,2018-01-05T19:44:00.080000Z,1a
20180105T200005Z,2018-01-05T20:00:05.220000Z,1a
20180105T200301Z,2018-01-05T20:03:01.150000Z,2b
20180105T200440Z,2018-01-05T20:04:40.140000Z,5c
20180105T200659Z,2018-01-05T20:06:59.370000Z,2b
20180105T201930Z,2018-01-05T20:19:30.420000Z,2b
20180105T202142Z,2018-01-05T20:21:42.160000Z,1c
20180105T203157Z,2018-01-05T20:31:57.110000Z,2b
20180105T203545Z,2018-01-05T20:35:45.350000Z,1a
20180105T203931Z,2018-01-05T20:39:31.640000Z,1a
20180105T205047Z,2018-01-05T20:50:47.920000Z,1a
20180105T205745Z,2018-01-05T20:57:45.050000Z,5a
20180105T205931Z,2018-01-05T20:59:31.430000Z,6d
20180105T210318Z,2018-01-05T21:03:18.570000Z,1d
20180105T210510Z,2018-01-05T21:05:10.290000Z,3d
20180105T211102Z,2018-01-05T21:11:02.810000Z,1b
20180105T211503Z,2018-01-05T21:15:03.630000Z,1d
20180105T212104Z,2018-01-05T21:21:04.560000Z,1a
20180105T212611Z,2018-01-05T21:26:11.400000Z,1b
20180105T214119Z,2018-01-05T21:41:19.010000Z,4b
20180105T214740Z,2018-01-05T21:47:40.810000Z,1a
20180105T214930Z,2018-01-05T21:49:30.260000Z,1a
20180105T222318Z,2018-01-05T22:23:18.330000Z,1a
20180105T223846Z,2018-01-05T22:38:46.290000Z,2b
20180105T224722Z,2018-01-05T22:47:22.800000Z,1a
20180105T230855Z,2018-01-05T23:08:55.130000Z,1a
20180105T231321Z,2018-01-05T23:13:21.250000Z,3d
20180105T231738Z,2018-01-05T23:17:38.130000Z,1b
20180105T232737Z,2018-01-05T23:27:37.010000Z,5a
20180105T233434Z,2018-01-05T23:34:34.440000Z,6b
20180105T234134Z,2018-01-05T23:41:34.210000Z,4b
20180105T234417Z,2018-01-05T23:44:17.500000Z,2d
20180105T234659Z,2018-01-05T23:46:59.380000Z,1b
20180105T234752Z,2018-01-05T23:47:52.000000Z,1a
20180105T235214Z,2018-01-05T23:52:14.020000Z,1a
20180105T000653Z,2018-01-05T00:06:53.230000Z,1b
20180105T002017Z,2018-01-05T00:20:17.320000Z,4b
20180105T004502Z,2018-01-05T00:45:02.820000Z,4b
20180105T005132Z,2018-01-05T00:51:32.110000Z,1b
20180105T005242Z,2018-01-05T00:52:42.480000Z,1b
20180105T010426Z,2018-01-05T01:04:26.240000Z,1b
20180105T012756Z,2018-01-05T01:27:56.560000Z,1b
20180105T024139Z,2018-01-05T02:41:39.410000Z,1b
20180105T031240Z,2018-01-05T03:12:40.590000Z,1b
20180105T034710Z,2018-01-05T03:47:10.430000Z,1c
20180105T045659Z,2018-01-05T04:56:59.630000Z,1b
20180105T051402Z,2018-01-05T05:14:02.280000Z,3d
20180105T052249Z,2018-01-05T05:22:49.570000Z,1b
20180105T052522Z,2018-01-05T05:25:22.010000Z,1b
20180105T054445Z,2018-01-05T05:44:45.030000Z,3d
20180105T070035Z,2018-01-05T07:00:35.920000Z,1b
20180105T072439Z,2018-01-05T07:24:39.170000Z,3d
20180105T073754Z,2018-01-05T07:37:54.090000Z,1d
20180105T081857Z,2018-01-05T08:18:57.240000Z,4b
20180105T082727Z,2018-01-05T08:27:27.190000Z,3d
20180105T084506Z,2018-01-05T08:45:06.020000Z,1b
20180105T085024Z,2018-01-05T08:50:24.310000Z,1b
20180105T090506Z,2018-01-05T09:05:06.430000Z,1b
20180105T094027Z,2018-01-05T09:40:27.130000Z,1b
20180105T094427Z,2018-01-05T09:44:27.190000Z,5c
20180105T102620Z,2018-01-05T10:26:20.560000Z,1b
20180105T104647Z,2018-01-05T10:46:47.780000Z,1b
20180105T114750Z,2018-01-05T11:47:50.210000Z,1b
20180105T120947Z,2018-01-05T12:09:47.320000Z,5c
20180105T122311Z,2018-01-05T12:23:11.350000Z,1b
20180105T130912Z,2018-01-05T13:09:12.400000Z,2b
20180105T133054Z,2018-01-05T13:30:54.750000Z,4b
20180105T133622Z,2018-01-05T13:36:22.520000Z,1b
20180105T134805Z,2018-01-05T13:48:05.670000Z,1b
20180105T135908Z,2018-01-05T13:59:08.450000Z,5b
20180105T140612Z,2018-01-05T14:06:12.210000Z,1b
20180105T141012Z,2018-01-05T14:10:12.240000Z,1d
20180105T150054Z,2018-01-05T15:00:54.040000Z,1b
20180105T150848Z,2018-01-05T15:08:48.070000Z,1b
20180105T151346Z,2018-01-05T15:13:46.140000Z,1b
20180105T151955Z,2018-01-05T15:19:55.560000Z,1b
20180105T152309Z,2018-01-05T15:23:09.560000Z,1d
20180105T152949Z,2018-01-05T15:29:49.700000Z,1b
20180105T154958Z,2018-01-05T15:49:58.540000Z,1d
20180105T161116Z,2018-01-05T16:11:16.620000Z,1b
20180105T165123Z,2018-01-05T16:51:23.760000Z,1b
20180105T165627Z,2018-01-05T16:56:27.690000Z,1b
20180105T165742Z,2018-01-05T16:57:42.180000Z,5c
20180105T170301Z,2018-01-05T17:03:01.180000Z,1b
20180105T171524Z,2018-01-05T17:15:24.370000Z,5a
20180105T181155Z,2018-01-05T18:11:55.850000Z,4b
20180105T181518Z,2018-01-05T18:15:18.460000Z,1b
20180105T191143Z,2018-01-05T19:11:43.490000Z,1b
20180105T191455Z,2018-01-05T19:14:55.060000Z,3d
20180105T193246Z,2018-01-05T19:32:46.270000Z,3d
20180105T194848Z,2018-01-05T19:48:48.370000Z,4b
20180105T195933Z,2018-01-05T19:59:33.120000Z,1b
20180105T200441Z,2018-01-05T20:04:41.060000Z,1b
20180105T200902Z,2018-01-05T20:09:02.980000Z,1b
20180105T203731Z,2018-01-05T20:37:31.020000Z,1b
20180105T205746Z,2018-01-05T20:57:46.280000Z,1b
20180105T210605Z,2018-01-05T21:06:05.200000Z,1b
20180105T211507Z,2018-01-05T21:15:07.920000Z,1b
20180105T214823Z,2018-01-05T21:48:23.470000Z,1b
20180105T220003Z,2018-01-05T22:00:03.420000Z,4b
20180105T220948Z,2018-01-05T22:09:48.100000Z,1b
20180105T222639Z,2018-01-05T22:26:39.510000Z,1b
20180105T230139Z,2018-01-05T23:01:39.240000Z,5c
20180105T230327Z,2018-01-05T23:03:27.400000Z,5c
20180105T230437Z,2018-01-05T23:04:37.310000Z,1b
20180105T230643Z,2018-01-05T23:06:43.200000Z,5c
20180105T232233Z,2018-01-05T23:22:33.200000Z,1b
20180105T232738Z,2018-01-05T23:27:38.130000Z,1b
20180105T233317Z,2018-01-05T23:33:17.870000Z,1d
20180105T234648Z,2018-01-05T23:46:48.610000Z,1b
20180105T000051Z,2018-01-05T00:00:51.070000Z,1d
20180105T000841Z,2018-01-05T00:08:41.360000Z,1c
20180105T001521Z,2018-01-05T00:15:21.200000Z,1c
20180105T001751Z,2018-01-05T00:17:51.130000Z,4d
20180105T002018Z,2018-01-05T00:20:18.170000Z,1c
20180105T003243Z,2018-01-05T00:32:43.600000Z,1c
20180105T003505Z,2018-01-05T00:35:05.540000Z,1d
20180105T003747Z,2018-01-05T00:37:47.200000Z,2c
20180105T004257Z,2018-01-05T00:42:57.510000Z,1c
20180105T004408Z,2018-01-05T00:44:08.940000Z,1c
20180105T004748Z,2018-01-05T00:47:48.070000Z,1d
20180105T012124Z,2018-01-05T01:21:24.010000Z,8c
20180105T012357Z,2018-01-05T01:23:57.230000Z,2c
20180105T013240Z,2018-01-05T01:32:40.900000Z,1c
20180105T013306Z,2018-01-05T01:33:06.780000Z,8c
20180105T013353Z,2018-01-05T01:33:53.030000Z,1c
20180105T014924Z,2018-01-05T01:49:24.700000Z,1c
20180105T015440Z,2018-01-05T01:54:40.860000Z,2d
20180105T020104Z,2018-01-05T02:01:04.440000Z,4b
20180105T020116Z,2018-01-05T02:01:16.030000Z,4d
20180105T020529Z,2018-01-05T02:05:29.200000Z,1c
20180105T021057Z,2018-01-05T02:10:57.080000Z,1c
20180105T021659Z,2018-01-05T02:16:59.040000Z,5b
20180105T021749Z,2018-01-05T02:17:49.360000Z,6d
20180105T021812Z,2018-01-05T02:18:12.000000Z,1c
20180105T022917Z,2018-01-05T02:29:17.610000Z,8c
20180105T023322Z,2018-01-05T02:33:22.310000Z,6d
20180105T023906Z,2018-01-05T02:39:06.670000Z,2c
20180105T024456Z,2018-01-05T02:44:56.270000Z,1c
20180105T024922Z,2018-01-05T02:49:22.800000Z,7d
20180105T025057Z,2018-01-05T02:50:57.520000Z,1c
20180105T030417Z,2018-01-05T03:04:17.250000Z,1c
20180105T032336Z,2018-01-05T03:23:36.350000Z,1c
20180105T033149Z,2018-01-05T03:31:49.370000Z,1c
20180105T034649Z,2018-01-05T03:46:49.270000Z,1c
20180105T035009Z,2018-01-05T03:50:09.130000Z,1c
20180105T041606Z,2018-01-05T04:16:06.750000Z,1c
20180105T041633Z,2018-01-05T04:16:33.070000Z,1d
20180105T043201Z,2018-01-05T04:32:01.860000Z,5c
20180105T044106Z,2018-01-05T04:41:06.510000Z,1d
20180105T044949Z,2018-01-05T04:49:49.330000Z,1c
20180105T050053Z,2018-01-05T05:00:53.120000Z,1d
20180105T050423Z,2018-01-05T05:04:23.370000Z,6d
20180105T051132Z,2018-01-05T05:11:32.550000Z,8c
20180105T053747Z,2018-01-05T05:37:47.640000Z,1c
20180105T062646Z,2018-01-05T06:26:46.880000Z,1c
20180105T063228Z,2018-01-05T06:32:28.140000Z,2c
20180105T064454Z,2018-01-05T06:44:54.040000Z,6d
20180105T065018Z,2018-01-05T06:50:18.080000Z,1c
20180105T070423Z,2018-01-05T07:04:23.430000Z,2b
20180105T070900Z,2018-01-05T07:09:00.450000Z,1d
20180105T071548Z,2018-01-05T07:15:48.000000Z,2c
20180105T072123Z,2018-01-05T07:21:23.750000Z,1c
20180105T074531Z,2018-01-05T07:45:31.470000Z,1d
20180105T074851Z,2018-01-05T07:48:51.520000Z,1c
20180105T075529Z,2018-01-05T07:55:29.060000Z,2c
20180105T080630Z,2018-01-05T08:06:30.050000Z,2c
20180105T080959Z,2018-01-05T08:09:59.260000Z,1c
20180105T081528Z,2018-01-05T08:15:28.610000Z,1d
20180105T083119Z,2018-01-05T08:31:19.850000Z,2b
20180105T083438Z,2018-01-05T08:34:38.570000Z,2c
20180105T085115Z,2018-01-05T08:51:15.110000Z,1c
20180105T090306Z,2018-01-05T09:03:06.640000Z,1d
20180105T090436Z,2018-01-05T09:04:36.950000Z,7d
20180105T091318Z,2018-01-05T09:13:18.420000Z,1c
20180105T091356Z,2018-01-05T09:13:56.390000Z,1c
20180105T093210Z,2018-01-05T09:32:10.750000Z,1d
20180105T093822Z,2018-01-05T09:38:22.620000Z,1c
20180105T094850Z,2018-01-05T09:48:50.010000Z,4b
20180105T095157Z,2018-01-05T09:51:57.290000Z,2c
20180105T101259Z,2018-01-05T10:12:59.880000Z,1c
20180105T103734Z,2018-01-05T10:37:34.230000Z,1c
20180105T103759Z,2018-01-05T10:37:59.570000Z,1c
20180105T105414Z,2018-01-05T10:54:14.920000Z,5c
20180105T110743Z,2018-01-05T11:07:43.180000Z,1d
20180105T111229Z,2018-01-05T11:12:29.020000Z,1c
20180105T111428Z,2018-01-05T11:14:28.760000Z,1c
20180105T112419Z,2018-01-05T11:24:19.570000Z,1c
20180105T112609Z,2018-01-05T11:26:09.350000Z,2c
20180105T112624Z,2018-01-05T11:26:24.840000Z,1d
20180105T113341Z,2018-01-05T11:33:41.630000Z,1c
20180105T113612Z,2018-01-05T11:36:12.900000Z,1d
20180105T114333Z,2018-01-05T11:43:33.640000Z,1c
20180105T114749Z,2018-01-05T11:47:49.730000Z,1c
20180105T114807Z,2018-01-05T11:48:07.060000Z,2c
20180105T115309Z,2018-01-05T11:53:09.560000Z,1d
20180105T115412Z,2018-01-05T11:54:12.100000Z,1c
20180105T120325Z,2018-01-05T12:03:25.250000Z,6b
20180105T120433Z,2018-01-05T12:04:33.140000Z,2c
20180105T121017Z,2018-01-05T12:10:17.310000Z,1c
20180105T121112Z,2018-01-05T12:11:12.720000Z,1d
20180105T121828Z,2018-01-05T12:18:28.380000Z,2c
20180105T122123Z,2018-01-05T12:21:23.360000Z,2c
20180105T122212Z,2018-01-05T12:22:12.250000Z,1c
20180105T123107Z,2018-01-05T12:31:07.940000Z,1d
20180105T123505Z,2018-01-05T12:35:05.630000Z,1c
20180105T124822Z,2018-01-05T12:48:22.560000Z,1c
20180105T125320Z,2018-01-05T12:53:20.130000Z,1c
20180105T125726Z,2018-01-05T12:57:26.110000Z,1c
20180105T130616Z,2018-01-05T13:06:16.540000Z,7d
20180105T130835Z,2018-01-05T13:08:35.810000Z,1c
20180105T131059Z,2018-01-05T13:10:59.780000Z,1c
20180105T131422Z,2018-01-05T13:14:22.180000Z,1c
20180105T131629Z,2018-01-05T13:16:29.130000Z,4d
20180105T132023Z,2018-01-05T13:20:23.070000Z,1c
20180105T133143Z,2018-01-05T13:31:43.770000Z,1d
20180105T133456Z,2018-01-05T13:34:56.360000Z,4b
20180105T133804Z,2018-01-05T13:38:04.740000Z,1c
20180105T133858Z,2018-01-05T13:38:58.190000Z,1c
20180105T134056Z,2018-01-05T13:40:56.680000Z,1c
20180105T134618Z,2018-01-05T13:46:18.520000Z,6d
20180105T134827Z,2018-01-05T13:48:27.500000Z,1c
20180105T135830Z,2018-01-05T13:58:30.450000Z,1c
20180105T135947Z,2018-01-05T13:59:47.000000Z,1c
20180105T140413Z,2018-01-05T14:04:13.670000Z,1c
20180105T140952Z,2018-01-05T14:09:52.120000Z,1c
20180105T141529Z,2018-01-05T14:15:29.850000Z,7d
20180105T142355Z,2018-01-05T14:23:55.880000Z,1d
20180105T142608Z,2018-01-05T14:26:08.120000Z,2b
20180105T142815Z,2018-01-05T14:28:15.950000Z,1c
20180105T143629Z,2018-01-05T14:36:29.480000Z,1c
20180105T144417Z,2018-01-05T14:44:17.270000Z,5a
20180105T144828Z,2018-01-05T14:48:28.220000Z,1c
20180105T145619Z,2018-01-05T14:56:19.560000Z,1d
20180105T152028Z,2018-01-05T15:20:28.340000Z,1c
20180105T152308Z,2018-01-05T15:23:08.060000Z,5b
20180105T152613Z,2018-01-05T15:26:13.670000Z,1c
20180105T154147Z,2018-01-05T15:41:47.460000Z,1c
20180105T155204Z,2018-01-05T15:52:04.770000Z,2d
20180105T155443Z,2018-01-05T15:54:43.870000Z,1c
20180105T160012Z,2018-01-05T16:00:12.950000Z,1c
20180105T160250Z,2018-01-05T16:02:50.080000Z,1d
20180105T160805Z,2018-01-05T16:08:05.170000Z,4b
20180105T161200Z,2018-01-05T16:12:00.220000Z,1c
20180105T161903Z,2018-01-05T16:19:03.300000Z,1d
20180105T162007Z,2018-01-05T16:20:07.670000Z,1d
20180105T162139Z,2018-01-05T16:21:39.850000Z,1c
20180105T162223Z,2018-01-05T16:22:23.860000Z,4b
20180105T162336Z,2018-01-05T16:23:36.500000Z,1d
20180105T162506Z,2018-01-05T16:25:06.950000Z,1c
20180105T162921Z,2018-01-05T16:29:21.600000Z,1d
20180105T164057Z,2018-01-05T16:40:57.100000Z,1c
20180105T164122Z,2018-01-05T16:41:22.780000Z,1c
20180105T164231Z,2018-01-05T16:42:31.620000Z,1c
20180105T165416Z,2018-01-05T16:54:16.850000Z,1c
20180105T165436Z,2018-01-05T16:54:36.250000Z,5c
20180105T165535Z,2018-01-05T16:55:35.600000Z,1c
20180105T165828Z,2018-01-05T16:58:28.890000Z,1c
20180105T170517Z,2018-01-05T17:05:17.560000Z,1c
20180105T170937Z,2018-01-05T17:09:37.150000Z,1c
20180105T171415Z,2018-01-05T17:14:15.050000Z,1c
20180105T171541Z,2018-01-05T17:15:41.490000Z,2c
20180105T173258Z,2018-01-05T17:32:58.960000Z,1d
20180105T173318Z,2018-01-05T17:33:18.820000Z,7d
20180105T173428Z,2018-01-05T17:34:28.400000Z,4b
20180105T173512Z,2018-01-05T17:35:12.910000Z,1c
20180105T174044Z,2018-01-05T17:40:44.900000Z,1d
20180105T174243Z,2018-01-05T17:42:43.820000Z,7d
20180105T175549Z,2018-01-05T17:55:49.220000Z,1c
20180105T180940Z,2018-01-05T18:09:40.210000Z,1c
20180105T181156Z,2018-01-05T18:11:56.730000Z,1c
20180105T181451Z,2018-01-05T18:14:51.100000Z,4b
20180105T181816Z,2018-01-05T18:18:16.250000Z,1c
20180105T181948Z,2018-01-05T18:19:48.120000Z,1c
20180105T182152Z,2018-01-05T18:21:52.100000Z,4b
20180105T182312Z,2018-01-05T18:23:12.270000Z,2b
20180105T182536Z,2018-01-05T18:25:36.060000Z,2c
20180105T183307Z,2018-01-05T18:33:07.170000Z,2c
20180105T185227Z,2018-01-05T18:52:27.940000Z,1c
20180105T191136Z,2018-01-05T19:11:36.300000Z,1c
20180105T191320Z,2018-01-05T19:13:20.660000Z,1d
20180105T191714Z,2018-01-05T19:17:14.290000Z,1d
20180105T192153Z,2018-01-05T19:21:53.540000Z,2c
20180105T192909Z,2018-01-05T19:29:09.500000Z,4b
20180105T193225Z,2018-01-05T19:32:25.180000Z,1c
20180105T193242Z,2018-01-05T19:32:42.030000Z,4d
20180105T194309Z,2018-01-05T19:43:09.360000Z,5a
20180105T194359Z,2018-01-05T19:43:59.610000Z,1c
20180105T195628Z,2018-01-05T19:56:28.590000Z,1c
20180105T195657Z,2018-01-05T19:56:57.270000Z,1c
20180105T200210Z,2018-01-05T20:02:10.110000Z,1c
20180105T200712Z,2018-01-05T20:07:12.060000Z,1d
20180105T201301Z,2018-01-05T20:13:01.610000Z,1c
20180105T203245Z,2018-01-05T20:32:45.630000Z,8d
20180105T203913Z,2018-01-05T20:39:13.480000Z,1d
20180105T203932Z,2018-01-05T20:39:32.420000Z,1c
20180105T205141Z,2018-01-05T20:51:41.620000Z,2c
20180105T205217Z,2018-01-05T20:52:17.550000Z,1c
20180105T210342Z,2018-01-05T21:03:42.450000Z,1c
20180105T210928Z,2018-01-05T21:09:28.070000Z,1c
20180105T211034Z,2018-01-05T21:10:34.430000Z,4c
20180105T211607Z,2018-01-05T21:16:07.140000Z,1d
20180105T212908Z,2018-01-05T21:29:08.080000Z,8d
20180105T213314Z,2018-01-05T21:33:14.090000Z,1d
20180105T214047Z,2018-01-05T21:40:47.220000Z,2c
20180105T214212Z,2018-01-05T21:42:12.820000Z,1c
20180105T214829Z,2018-01-05T21:48:29.210000Z,1d
20180105T214954Z,2018-01-05T21:49:54.410000Z,4b
20180105T215209Z,2018-01-05T21:52:09.260000Z,8c
20180105T215357Z,2018-01-05T21:53:57.000000Z,1c
20180105T215645Z,2018-01-05T21:56:45.710000Z,1c
20180105T215807Z,2018-01-05T21:58:07.610000Z,1d
20180105T220941Z,2018-01-05T22:09:41.240000Z,2c
