event_id,baz,rad,corr,baz_opt,rad_opt,corr_opt,N
20180102T080256Z,1.0053096491487339,1.617625394674567,0.8669390885526203,1.0585639158955926,1.566642335853367,0.8674255891723371,2.0
20180102T080628Z,5.026548245743669,0.8558976573957302,0.21774927469179375,4.937752972659686,0.9817557322623945,0.2258035539888926,2.0
20180102T081027Z,0.7539822368615504,14.087332295285256,0.8816055474608206,0.7263087230944401,13.272772159940974,0.8817391871598024,2.0
20180102T081221Z,4.775220833456486,1.617625394674567,0.9659930274310027,4.745954395119973,1.7534831407645852,0.9660363545393985,2.0
20180102T081322Z,0.7539822368615504,1.8372539081409522,0.9039444004796511,0.801617397411613,1.8625180240778827,0.9041160198703901,2.0
20180102T081400Z,4.39822971502571,16.0,0.9459933307624667,4.399357190904807,16.0,0.9459937673869102,2.0
20180102T081510Z,0.5026548245743669,1.1040895136738127,0.9601232820799038,0.5356180864181228,1.1627538560264543,0.9601654338256079,2.0
20180102T081546Z,5.152211951887261,1.4242516540045356,0.9597574880527879,4.981062692909676,1.0516147201438915,0.9613713859201981,2.0
20180102T081732Z,4.272566008882119,16.0,0.9577260632489413,4.291446244419415,16.0,0.9578304090151432,2.0
20180102T082717Z,2.6389378290154264,0.9721047414289302,0.9539149297887626,2.5965070791892426,1.0039998307970852,0.9540583327505789,2.0
20180102T082840Z,4.1469023027385274,14.087332295285256,0.9789155538450478,4.132121597764,15.414297255220136,0.978943853237588,2.0
20180102T083039Z,4.39822971502571,16.0,0.9648972362745657,4.382176606080488,16.0,0.9649761802104383,2.0
20180102T083139Z,2.261946710584651,0.23961257193520702,0.9572341441300019,2.476832051643574,0.18057537619044783,0.9573902710994627,2.0
20180102T083307Z,0.0,1.617625394674567,0.9687487457627083,6.265512257027925,1.6285477706164921,0.9687734271635744,2.0
20180102T083401Z,4.649557127312894,16.0,0.6113534238770189,4.653757166710126,16.0,0.6113579265866649,2.0
20180102T083656Z,4.775220833456486,16.0,0.9856946663595682,4.786529339824778,16.0,0.9857001994172445,2.0
20180102T084040Z,3.518583772020569,16.0,0.9703885114217007,3.5069868772641533,16.0,0.9704146168692954,2.0
20180102T084157Z,0.12566370614359174,2.3700179062375537,0.9591761302497049,0.10240874109051755,2.3153158636455067,0.9591919825333063,2.0
20180102T084822Z,4.775220833456486,3.943814886992401,0.9363808643771961,4.814698738388574,2.551559580135619,0.9365441020315689,2.0
20180102T084912Z,3.6442474781641603,16.0,0.9842706795027756,3.5968259960874636,16.0,0.9844056766734725,2.0
20180102T084939Z,2.6389378290154264,16.0,0.9863483749758309,2.6714091343333903,16.0,0.9864018493673696,2.0
20180102T085014Z,3.267256359733385,16.0,0.9871338166087578,3.2784237398691927,16.0,0.9871425697448539,2.0
20180102T085106Z,1.7592918860102844,0.584181993816139,0.959634286909435,1.7819296308295418,0.5075505750825655,0.959652537883541,2.0
20180102T085142Z,4.523893421169302,4.479275200528711,0.9655708017067979,4.580662531808331,2.9854001751913923,0.9656559874295616,2.0
20180102T085250Z,0.8796459430051422,3.472364426509674,0.8965075109384464,0.8810061560170721,3.5273550378064122,0.8965079018713619,2.0
20180102T085356Z,4.775220833456486,16.0,0.9798162712740184,4.715064242878762,16.0,0.9799272262948069,2.0
20180102T085445Z,3.392920065876977,16.0,0.9605574462845127,3.4321838381236978,16.0,0.9607851750015535,2.0
20180102T085619Z,2.7646015351590183,0.16354449484350297,0.7085733320739405,2.803126067629044,0.15905954269191336,0.7087045222781732,2.0
20180102T085921Z,4.272566008882119,16.0,0.8995863703045017,4.255719831869559,16.0,0.899671222074479,2.0
20180102T090139Z,4.900884539600078,16.0,0.9900390604962526,4.865109039665011,16.0,0.9900765014459939,2.0
20180102T090151Z,4.39822971502571,16.0,0.9587362691970494,4.443328750189549,16.0,0.9592997594174454,2.0
20180102T090335Z,4.0212385965949355,16.0,0.30398884116572905,4.047549435068751,16.0,0.3040862505181829,2.0
20180102T090418Z,4.272566008882119,14.087332295285256,0.9680957796382599,4.21775960174213,16.0,0.969669834178793,2.0
