,event_id,arrival,group
574,20180108T065949Z,695,8
575,20180108T070003Z,659,9
576,20180108T070156Z,695,9
577,20180108T070230Z,695,1
578,20180108T070240Z,569,2
579,20180108T070315Z,U,10
580,20180108T070436Z,695,2
581,20180108T070455Z,659,1
582,20180108T070511Z,965,8
583,20180108T070531Z,596,9
584,20180108T070612Z,956,9
585,20180108T070621Z,965,4
586,20180108T070657Z,965,7
587,20180108T070817Z,695,9
588,20180108T071000Z,U,10
589,20180108T071016Z,965,2
590,20180108T071213Z,965,1
591,20180108T071313Z,569,2
592,20180108T071335Z,695,2
593,20180108T071402Z,596,9
594,20180108T071425Z,956,6
595,20180108T071443Z,569,9
596,20180108T071503Z,965,9
597,20180108T071512Z,965,5
598,20180108T071613Z,965,9
599,20180108T071621Z,965,9
600,20180108T071734Z,U,10
601,20180108T071811Z,U,10
602,20180108T071952Z,956,7
603,20180108T072002Z,956,7
604,20180108T072035Z,U,10
605,20180108T072156Z,695,9
606,20180108T072206Z,965,1
607,20180108T072244Z,965,9
608,20180108T072253Z,659,2
609,20180108T072314Z,569,9
610,20180108T072355Z,U,10
611,20180108T072410Z,695,10
612,20180108T072436Z,956,9
613,20180108T072502Z,695,3
614,20180108T072516Z,695,9
615,20180108T072533Z,965,2
616,20180108T072559Z,659,1
617,20180108T072634Z,596,8
618,20180108T072649Z,659,5
619,20180108T072722Z,695,3
620,20180108T072845Z,695,9
621,20180108T072950Z,965,5
622,20180108T073022Z,956,6
623,20180108T073117Z,965,2
624,20180108T073152Z,695,4
625,20180108T073510Z,695,3
626,20180108T073535Z,956,9
627,20180108T073603Z,569,9
628,20180108T073649Z,9654,9
629,20180108T073746Z,695,4
630,20180108T073912Z,596,9
631,20180108T073946Z,695,9
632,20180108T074107Z,U,10
633,20180108T074242Z,965,5
634,20180108T074348Z,659,9
635,20180108T074412Z,956,6
636,20180108T074453Z,596,7
637,20180108T074506Z,695,3
638,20180108T074525Z,956,2
639,20180108T074618Z,695,3
640,20180108T074632Z,596,9
641,20180108T074705Z,956,2
642,20180108T074735Z,965,9
643,20180108T074821Z,U,10
644,20180108T074842Z,695,9
645,20180108T074854Z,965,9
646,20180108T074934Z,659,9
647,20180108T075115Z,596,8
648,20180108T075140Z,569,7
649,20180108T075158Z,596,6
650,20180108T075222Z,695,2
651,20180108T075237Z,965,5
652,20180108T075259Z,U,10
653,20180108T075407Z,695,9
654,20180108T075416Z,956,9
655,20180108T075441Z,695,9
656,20180108T075501Z,965,9
657,20180108T075509Z,U,10
658,20180108T075603Z,U,10
659,20180108T075654Z,695,6
660,20180108T075726Z,U,10
661,20180108T075800Z,596,1
662,20180108T075833Z,569,6
663,20180108T075856Z,569,2
664,20180108T075935Z,569,9
665,20180108T075958Z,659,1
666,20180108T080118Z,596,9
667,20180108T080125Z,596,9
668,20180108T080151Z,659,9
669,20180108T080226Z,965,9
670,20180108T080301Z,695,9
671,20180108T080512Z,965,9
672,20180108T080811Z,965,8
673,20180108T080911Z,695,9
674,20180108T080923Z,965,9
675,20180108T081126Z,695,9
676,20180108T081209Z,659,1
677,20180108T081242Z,U,10
678,20180108T081305Z,569,6
679,20180108T081314Z,596,8
680,20180108T081625Z,695,5
681,20180108T081905Z,965,9
682,20180108T081918Z,596,7
683,20180108T082009Z,695,9
684,20180108T082100Z,695,3
685,20180108T082234Z,695,1
686,20180108T082301Z,965,10
687,20180108T082408Z,965,9
688,20180108T082514Z,695,9
689,20180108T082613Z,695,9
690,20180108T082635Z,695,4
691,20180108T082705Z,695,1
692,20180108T082722Z,596,8
693,20180108T082753Z,596,9
694,20180108T082815Z,569,9
695,20180108T082900Z,659,5
696,20180108T083057Z,695,9
697,20180108T083106Z,965,2
698,20180108T083201Z,659,4
699,20180120T080107Z,965,8
700,20180120T080544Z,U,10
701,20180120T080642Z,695,1
702,20180120T080828Z,965,1
703,20180120T080914Z,596,9
704,20180120T081019Z,569,2
705,20180120T081146Z,695,3
706,20180120T081356Z,965,1
707,20180120T081503Z,569,9
708,20180120T081530Z,U,10
709,20180120T081607Z,U,10
710,20180120T082404Z,U,10
711,20180120T082527Z,U,10
712,20180120T082631Z,965,9
713,20180120T082655Z,U,10
714,20180120T082812Z,695,9
715,20180120T082925Z,956,10
716,20180120T082946Z,659,9
717,20180120T083126Z,U,10
718,20180120T083144Z,965,9
719,20180120T083317Z,695,3
720,20180120T083631Z,U,10
721,20180120T083648Z,U,10
722,20180120T083851Z,965,5
723,20180120T084053Z,596,2
724,20180120T084217Z,569,9
725,20180120T084358Z,U,10
726,20180120T084517Z,U,10
727,20180120T084740Z,U,10
728,20180120T084821Z,U,10
729,20180120T084849Z,695,3
730,20180120T084958Z,596,9
731,20180120T085044Z,U,10
732,20180120T085118Z,695,2
733,20180120T085129Z,695,3
734,20180120T085154Z,U,10
735,20180120T085237Z,965,9
736,20180120T085454Z,U,10
737,20180120T085638Z,596,7
738,20180120T085918Z,U,10
739,20180120T085946Z,U,10
740,20180120T090042Z,659,1
741,20180120T090119Z,596,1
742,20180120T090351Z,U,10
743,20180120T090758Z,956,9
744,20180120T091250Z,596,1
745,20180120T091341Z,956,9
746,20180120T091410Z,569,9
747,20180120T091546Z,965,9
748,20180120T091605Z,695,9
749,20180120T091653Z,U,10
750,20180120T091728Z,965,9
751,20180120T091742Z,U,10
752,20180120T091756Z,965,9
753,20180120T091839Z,596,9
