,event_id,stations,ref_time,ref_duration,group
184,20180211T051348Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T05:13:48.750000Z,8.961989,1c
185,20180211T052428Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T05:24:28.310000Z,10.731988,6c
186,20180211T052612Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T05:26:12.230000Z,14.651988,4b
187,20180211T052638Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T05:26:38.470000Z,1.611988,1a
188,20180211T052832Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T05:28:32.870000Z,5.761988,2d
189,20180211T055039Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T05:50:39.190000Z,6.471988,2a
190,20180211T055738Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T05:57:38.690000Z,0.891988,1b
191,20180211T061550Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T06:15:50.170000Z,14.651988,4b
192,20180211T061726Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T06:17:26.080000Z,2.031988,2b
193,20180211T062702Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T06:27:02.470000Z,3.511988,3d
194,20180211T072836Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T07:28:36.390000Z,6.471988,2a
195,20180211T073726Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T07:37:26.090000Z,2.661988,1d
196,20180211T075417Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T07:54:17.120000Z,6.471988,2a
197,20180211T082703Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T08:27:03.490000Z,1.051989,3b
