event_id,amplitude,med_freq,duration,energy,mean_freq
20180214T084503Z,2.516676204891544e-05,20.1171875,3.511988,9.912116277936607e-12,20.28208266049009
20180214T085729Z,7.411989791998625e-06,13.671875,8.961989,5.499770797139138e-13,15.274252707569197
20180214T085810Z,4.601038008627517e-06,11.1328125,3.511988,2.121800050443994e-13,13.394735971459717
20180214T093449Z,1.238111696938907e-05,13.671875,5.901988,1.5333623701692438e-12,15.29151926546352
20180214T093703Z,1.836484092906971e-05,13.671875,1.611988,3.373121207174998e-12,15.28040546431634
20180214T101026Z,1.4957515627910655e-05,12.890625,8.961989,2.2377791373400465e-12,14.621854143387285
20180214T101535Z,3.3016590624330177e-06,1.7578125,1.611988,1.0940362289100885e-13,8.812801082824047
20180214T102046Z,1.3100030651857908e-05,12.6953125,3.051989,1.7165908029545507e-12,14.499637654619857
20180214T103009Z,8.271099721313837e-06,12.5,1.611988,6.845284379032532e-13,14.28222295631129
20180214T103302Z,1.5588331144378022e-05,13.671875,1.611988,2.430352080895638e-12,15.237267313118046
20180214T105438Z,1.0337825884173576e-05,13.8671875,7.541989,1.0690910602445917e-12,15.512421739124228
20180214T113015Z,8.343314558352294e-06,12.890625,2.661988,6.965901546868651e-13,14.793331019423025
20180214T115539Z,1.0597430481782357e-05,13.4765625,2.661988,1.1234939124558013e-12,15.160737900102133
20180214T122639Z,1.2349205481572758e-05,12.6953125,0.891988,1.525482521429611e-12,14.485448163131709
20180214T133606Z,9.346109220154186e-06,8.7890625,0.891988,8.739885676670038e-13,11.67047529064526
20180214T153126Z,8.979739441574504e-06,12.6953125,3.511988,8.068588402938393e-13,14.52066190244712
20180214T154322Z,2.0366752194504828e-05,13.4765625,3.511988,4.148559065290391e-12,15.240685916898961
20180214T161926Z,8.1134161820642e-06,13.671875,1.051989,6.586992022675041e-13,15.316173622383873
20180214T164139Z,9.858753046393498e-06,13.28125,3.451988,9.724651345999654e-13,15.132112510247516
20180214T172852Z,5.43586848664867e-06,4.1015625,7.541989,4.1055797791187085e-13,4.832092295845759
20180214T180047Z,6.37310402422169e-06,13.0859375,3.511988,4.065553711912114e-13,15.087637650138923
20180214T190546Z,8.888325645936952e-06,13.671875,1.611988,7.904106140380867e-13,15.35678820181925
20180214T191812Z,9.6114115171582e-06,7.8125,3.511988,9.242599490973443e-13,9.680536838406486
20180214T192617Z,7.306008618148991e-06,13.8671875,3.511988,5.342710594404487e-13,15.498906729591486
20180214T194554Z,1.0513318878414597e-05,13.8671875,3.511988,1.1058206359797577e-12,15.631934988408307
20180214T194940Z,1.809552688164233e-05,13.8671875,1.611988,3.2749399131683956e-12,15.49167055094571
20180214T201240Z,1.4728757713014462e-05,14.0625,3.511988,3.667647815721751e-12,15.192319376307662
20180214T201930Z,9.29772459244412e-06,13.8671875,3.511988,8.649402596480041e-13,15.587567040932589
20180214T210711Z,7.805712769384898e-06,12.3046875,1.611988,6.097520085619972e-13,14.221789261522837
20180214T213706Z,4.767879092466917e-06,12.890625,3.511988,2.279741222423751e-13,14.6883116227411
20180214T224005Z,4.630217629076375e-06,13.0859375,2.031988,2.149240469302218e-13,15.082154068787679
20180214T225248Z,5.7427255016578136e-06,12.890625,1.611988,3.302886992898886e-13,14.71503736062675
20180214T230710Z,7.743068939686176e-06,10.7421875,8.961989,5.999435877916937e-13,13.178058009847595
20180214T232328Z,1.547735695484184e-05,14.0625,3.451988,2.3959870466047335e-12,15.708042371531754
20180214T232722Z,7.653929234516993e-06,10.9375,1.051989,5.863254255856644e-13,13.216379621633777
20180214T234359Z,7.129386803419318e-06,13.4765625,0.891988,5.087085684530284e-13,15.029713162564919
20180214T234548Z,4.451175305019991e-06,11.5234375,1.611988,1.98528624824867e-13,13.63647073752669
20180214T234639Z,7.4580231749329865e-06,13.671875,3.451988,5.566696810949727e-13,15.43066055955522
20180214T235603Z,1.0299007223721112e-05,13.8671875,18.921988,1.0611070936771207e-12,15.621958751832079
