,event_id,group,similarity
80,20180103T060017Z,2a,0.8046315310116882
81,20180103T060047Z,4d,0.831756888262986
82,20180103T060847Z,8d,0.7415646405471988
83,20180103T061239Z,4b,0.8007732843146271
84,20180103T061343Z,3d,0.7391793554647261
85,20180103T063157Z,8b,0.7400093918517288
86,20180103T063225Z,1b,0.9276597419552315
87,20180103T063250Z,8d,0.702543123846934
88,20180103T063704Z,2a,0.8085388241016397
89,20180103T070629Z,3d,0.7326820758333205
90,20180103T070913Z,1c,0.9035037880813684
91,20180103T071226Z,3c,0.7232695674381042
92,20180103T071246Z,2a,0.8642023591763731
93,20180103T071401Z,2c,0.8257437780650756
94,20180103T072118Z,1c,0.9341521800183168
95,20180103T072527Z,2d,0.8065525269761573
96,20180103T073021Z,8c,0.7249943352141069
97,20180103T073235Z,2c,0.8191853317767197
98,20180103T073743Z,4b,0.927194257174349
99,20180103T073902Z,1c,0.9494579795870979
100,20180103T074707Z,3d,0.7111735729381756
101,20180103T075722Z,4b,0.8568596177315749
102,20180103T080142Z,4d,0.8241219512265401
103,20180103T080810Z,3d,0.7130124646908691
104,20180103T081547Z,2c,0.8750488789590117
105,20180103T081808Z,5c,0.8119306170793678
106,20180103T082759Z,4b,0.8286923375268495
107,20180103T084222Z,2a,0.8827108409303788
108,20180103T085239Z,5c,0.8070421415626515
109,20180103T085444Z,6c,0.8131330059847571
110,20180103T090112Z,2c,0.8162300604043636
111,20180103T090219Z,2a,0.8588418070936464
112,20180103T090316Z,6a,0.8030101603976254
113,20180103T091415Z,6a,0.8692094884297815
114,20180103T091619Z,8b,0.7129651396907978
115,20180103T091844Z,3b,0.7943326307170149
116,20180103T092113Z,8d,0.703211776397826
117,20180103T093125Z,3b,0.8443773348279465
118,20180103T094303Z,8d,0.7171640249315795
119,20180103T094335Z,2c,0.8087991020076202
120,20180103T094350Z,1a,0.9394842330371981
121,20180103T094514Z,3b,0.7562078093938883
122,20180103T095118Z,8c,0.7136440836085913
123,20180103T095620Z,2c,0.8678369733624544
124,20180103T100043Z,1c,0.9108666535110097
125,20180103T100638Z,6a,0.8473920315467636
126,20180103T100743Z,2c,0.8077494029891503
127,20180103T100814Z,2c,0.818862495193982
128,20180103T100951Z,2a,0.8072349275036452
129,20180103T101853Z,2c,0.8208854103336345
130,20180103T101944Z,1c,0.9359108972013869
131,20180103T102821Z,8d,0.708648723069635
132,20180103T103904Z,2d,0.8351361992849237
133,20180103T104107Z,2c,0.8157189120799236
134,20180103T104317Z,8d,0.7059875673604602
135,20180103T104513Z,1a,0.9080180729735716
136,20180103T105258Z,2c,0.8392308954557038
137,20180103T110249Z,6d,0.8212960997431256
138,20180103T111808Z,8a,0.7378579302264642
139,20180103T112212Z,2a,0.810236570522019
140,20180103T112323Z,8b,0.7461321894070166
141,20180103T112520Z,2a,0.8000458482746342
142,20180103T112859Z,4b,0.807698100044369
143,20180103T113044Z,4b,0.8081883028398484
